datetime,symbol,open,high,low,close,volume
2025-04-04 09:10:00,BINANCE:BTCUSDT,82740.0,82740.0,82709.39,82709.4,10.10134
2025-04-04 09:11:00,BINANCE:BTCUSDT,82709.4,82725.16,82709.39,82725.15,4.33744
2025-04-04 09:12:00,BINANCE:BTCUSDT,82725.16,82727.53,82713.7,82722.01,6.14696
2025-04-04 09:13:00,BINANCE:BTCUSDT,82722.0,82729.05,82722.0,82729.04,6.2292
2025-04-04 09:14:00,BINANCE:BTCUSDT,82729.05,82784.44,82729.05,82784.44,4.00685
2025-04-04 09:15:00,BINANCE:BTCUSDT,82784.43,82849.33,82772.01,82790.15,6.70188
2025-04-04 09:16:00,BINANCE:BTCUSDT,82790.15,82871.9,82790.14,82837.17,3.85189
2025-04-04 09:17:00,BINANCE:BTCUSDT,82837.18,82837.18,82784.76,82784.76,6.00951
2025-04-04 09:18:00,BINANCE:BTCUSDT,82784.76,82795.03,82775.15,82792.46,1.79782
2025-04-04 09:19:00,BINANCE:BTCUSDT,82792.46,82823.88,82792.45,82801.65,4.35933
2025-04-04 09:20:00,BINANCE:BTCUSDT,82801.66,82811.24,82723.64,82755.2,11.99671
2025-04-04 09:21:00,BINANCE:BTCUSDT,82755.2,82782.0,82745.28,82782.0,2.51644
2025-04-04 09:22:00,BINANCE:BTCUSDT,82781.99,82819.35,82777.7,82813.31,3.69459
2025-04-04 09:23:00,BINANCE:BTCUSDT,82813.31,82813.31,82761.17,82771.5,1.96978
2025-04-04 09:24:00,BINANCE:BTCUSDT,82771.49,82795.66,82764.93,82795.65,7.97722
2025-04-04 09:25:00,BINANCE:BTCUSDT,82795.66,82838.71,82788.1,82835.35,2.83165
2025-04-04 09:26:00,BINANCE:BTCUSDT,82835.35,82835.35,82810.84,82826.35,1.12491
2025-04-04 09:27:00,BINANCE:BTCUSDT,82826.35,82826.36,82782.75,82782.75,1.51852
2025-04-04 09:28:00,BINANCE:BTCUSDT,82782.76,82810.0,82782.75,82809.99,1.16549
2025-04-04 09:29:00,BINANCE:BTCUSDT,82809.99,82818.52,82801.95,82818.52,2.13391
2025-04-04 09:30:00,BINANCE:BTCUSDT,82818.53,82833.78,82816.29,82825.63,5.73092
2025-04-04 09:31:00,BINANCE:BTCUSDT,82825.64,82825.64,82691.72,82739.14,72.39513
2025-04-04 09:32:00,BINANCE:BTCUSDT,82739.15,82744.56,82706.84,82726.74,43.24099
2025-04-04 09:33:00,BINANCE:BTCUSDT,82726.74,82752.01,82726.74,82750.01,3.43173
2025-04-04 09:34:00,BINANCE:BTCUSDT,82750.01,82762.0,82728.43,82733.71,3.18403
2025-04-04 09:35:00,BINANCE:BTCUSDT,82733.71,82750.0,82715.58,82742.0,4.10978
2025-04-04 09:36:00,BINANCE:BTCUSDT,82742.0,82764.15,82731.96,82764.15,4.42238
2025-04-04 09:37:00,BINANCE:BTCUSDT,82764.15,82776.71,82689.0,82703.64,6.09143
2025-04-04 09:38:00,BINANCE:BTCUSDT,82703.65,82705.67,82668.17,82679.78,5.75469
2025-04-04 09:39:00,BINANCE:BTCUSDT,82679.78,82700.0,82666.66,82700.0,14.63197
2025-04-04 09:40:00,BINANCE:BTCUSDT,82700.0,82717.98,82699.99,82707.57,6.64043
2025-04-04 09:41:00,BINANCE:BTCUSDT,82707.56,82722.1,82676.11,82722.1,5.20398
2025-04-04 09:42:00,BINANCE:BTCUSDT,82722.1,82751.46,82708.9,82708.9,5.47908
2025-04-04 09:43:00,BINANCE:BTCUSDT,82708.91,82708.91,82700.0,82708.5,1.8091
2025-04-04 09:44:00,BINANCE:BTCUSDT,82708.51,82714.72,82700.01,82703.56,2.32478
2025-04-04 09:45:00,BINANCE:BTCUSDT,82703.57,82706.96,82675.76,82675.76,5.72811
2025-04-04 09:46:00,BINANCE:BTCUSDT,82675.75,82675.76,82628.23,82649.13,11.84648
2025-04-04 09:47:00,BINANCE:BTCUSDT,82649.12,82685.61,82649.12,82663.03,4.90217
2025-04-04 09:48:00,BINANCE:BTCUSDT,82663.03,82663.03,82632.58,82648.26,4.95171
2025-04-04 09:49:00,BINANCE:BTCUSDT,82648.27,82651.66,82632.13,82643.53,3.67407
2025-04-04 09:50:00,BINANCE:BTCUSDT,82643.53,82643.53,82621.73,82621.74,2.18949
2025-04-04 09:51:00,BINANCE:BTCUSDT,82621.73,82626.07,82615.36,82615.37,6.59299
2025-04-04 09:52:00,BINANCE:BTCUSDT,82615.36,82629.03,82615.36,82621.73,2.0616
2025-04-04 09:53:00,BINANCE:BTCUSDT,82621.73,82673.5,82621.73,82673.5,5.64729
2025-04-04 09:54:00,BINANCE:BTCUSDT,82673.5,82716.97,82673.49,82716.97,7.11361
2025-04-04 09:55:00,BINANCE:BTCUSDT,82716.97,82751.46,82716.96,82751.46,1.71559
2025-04-04 09:56:00,BINANCE:BTCUSDT,82751.46,82752.18,82746.6,82750.0,1.86145
2025-04-04 09:57:00,BINANCE:BTCUSDT,82750.01,82777.77,82750.0,82765.05,2.71627
